DATE/TIME,YEAR,MONTH,DAY,HOUR,MINUTE,WEATHER,DATE,WEATHERCOND
2016-01-07 00:00:00,2016,1,7,0,0,Fog,2016-01-07,Bad
2016-01-07 01:00:00,2016,1,7,1,0,Fog,2016-01-07,Bad
2016-01-07 02:00:00,2016,1,7,2,0,Fog,2016-01-07,Bad
2016-01-07 03:00:00,2016,1,7,3,0,Fog,2016-01-07,Bad
2016-01-07 04:00:00,2016,1,7,4,0,Fog,2016-01-07,Bad
2016-01-07 07:00:00,2016,1,7,7,0,Cloudy,2016-01-07,Good
2016-01-07 10:00:00,2016,1,7,10,0,Mostly Cloudy,2016-01-07,Good
2016-01-07 13:00:00,2016,1,7,13,0,Cloudy,2016-01-07,Good
2016-01-07 16:00:00,2016,1,7,16,0,Cloudy,2016-01-07,Good
2016-01-07 19:00:00,2016,1,7,19,0,Cloudy,2016-01-07,Good
2016-01-07 22:00:00,2016,1,7,22,0,Cloudy,2016-01-07,Good
2016-01-08 01:00:00,2016,1,8,1,0,Cloudy,2016-01-08,Good
2016-01-08 04:00:00,2016,1,8,4,0,Cloudy,2016-01-08,Good
2016-01-08 07:00:00,2016,1,8,7,0,Cloudy,2016-01-08,Good
2016-01-08 10:00:00,2016,1,8,10,0,Cloudy,2016-01-08,Good
2016-01-08 13:00:00,2016,1,8,13,0,Mostly Cloudy,2016-01-08,Good
2016-01-08 16:00:00,2016,1,8,16,0,Mainly Clear,2016-01-08,Good
2016-01-08 19:00:00,2016,1,8,19,0,Mainly Clear,2016-01-08,Good
2016-01-08 22:00:00,2016,1,8,22,0,Mainly Clear,2016-01-08,Good
2016-01-09 01:00:00,2016,1,9,1,0,Mainly Clear,2016-01-09,Good
2016-01-09 04:00:00,2016,1,9,4,0,Mainly Clear,2016-01-09,Good
2016-01-09 07:00:00,2016,1,9,7,0,Mainly Clear,2016-01-09,Good
2016-01-09 10:00:00,2016,1,9,10,0,Mainly Clear,2016-01-09,Good
2016-01-09 13:00:00,2016,1,9,13,0,Mainly Clear,2016-01-09,Good
2016-01-09 16:00:00,2016,1,9,16,0,Mainly Clear,2016-01-09,Good
2016-01-09 19:00:00,2016,1,9,19,0,Clear,2016-01-09,Good
2016-01-09 22:00:00,2016,1,9,22,0,Clear,2016-01-09,Good
2016-01-10 01:00:00,2016,1,10,1,0,Mostly Cloudy,2016-01-10,Good
2016-01-10 04:00:00,2016,1,10,4,0,Cloudy,2016-01-10,Good
2016-01-10 07:00:00,2016,1,10,7,0,Mostly Cloudy,2016-01-10,Good
2016-01-10 10:00:00,2016,1,10,10,0,Mostly Cloudy,2016-01-10,Good
2016-01-10 13:00:00,2016,1,10,13,0,Mainly Clear,2016-01-10,Good
2016-01-10 16:00:00,2016,1,10,16,0,Mainly Clear,2016-01-10,Good
2016-01-10 19:00:00,2016,1,10,19,0,Mainly Clear,2016-01-10,Good
2016-01-10 22:00:00,2016,1,10,22,0,Clear,2016-01-10,Good
2016-01-11 01:00:00,2016,1,11,1,0,Clear,2016-01-11,Good
2016-01-11 04:00:00,2016,1,11,4,0,Clear,2016-01-11,Good
2016-01-11 07:00:00,2016,1,11,7,0,Mainly Clear,2016-01-11,Good
2016-01-11 10:00:00,2016,1,11,10,0,Mostly Cloudy,2016-01-11,Good
2016-01-11 12:00:00,2016,1,11,12,0,Rain Showers,2016-01-11,Bad
2016-01-11 13:00:00,2016,1,11,13,0,Rain Showers,2016-01-11,Bad
2016-01-11 14:00:00,2016,1,11,14,0,Rain,2016-01-11,Bad
2016-01-11 15:00:00,2016,1,11,15,0,Moderate Rain,2016-01-11,Bad
2016-01-11 16:00:00,2016,1,11,16,0,Rain,2016-01-11,Bad
2016-01-11 18:00:00,2016,1,11,18,0,Rain Showers,2016-01-11,Bad
2016-01-11 19:00:00,2016,1,11,19,0,Cloudy,2016-01-11,Good
2016-01-11 20:00:00,2016,1,11,20,0,"Rain,Fog",2016-01-11,Bad
2016-01-11 21:00:00,2016,1,11,21,0,Moderate Rain,2016-01-11,Bad
2016-01-11 22:00:00,2016,1,11,22,0,"Rain,Fog",2016-01-11,Bad
2016-01-11 23:00:00,2016,1,11,23,0,Rain,2016-01-11,Bad
2016-01-12 01:00:00,2016,1,12,1,0,Mostly Cloudy,2016-01-12,Good
2016-01-12 04:00:00,2016,1,12,4,0,Mostly Cloudy,2016-01-12,Good
2016-01-12 05:00:00,2016,1,12,5,0,Rain,2016-01-12,Bad
2016-01-12 06:00:00,2016,1,12,6,0,Rain,2016-01-12,Bad
2016-01-12 07:00:00,2016,1,12,7,0,Rain,2016-01-12,Bad
2016-01-12 08:00:00,2016,1,12,8,0,Rain,2016-01-12,Bad
2016-01-12 10:00:00,2016,1,12,10,0,Rain,2016-01-12,Bad
2016-01-12 11:00:00,2016,1,12,11,0,Rain,2016-01-12,Bad
2016-01-12 12:00:00,2016,1,12,12,0,Rain,2016-01-12,Bad
2016-01-12 13:00:00,2016,1,12,13,0,Rain,2016-01-12,Bad
2016-01-12 14:00:00,2016,1,12,14,0,Rain,2016-01-12,Bad
2016-01-12 15:00:00,2016,1,12,15,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 16:00:00,2016,1,12,16,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 17:00:00,2016,1,12,17,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 18:00:00,2016,1,12,18,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 19:00:00,2016,1,12,19,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 20:00:00,2016,1,12,20,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 21:00:00,2016,1,12,21,0,"Rain,Fog",2016-01-12,Bad
2016-01-12 22:00:00,2016,1,12,22,0,Rain,2016-01-12,Bad
2016-01-12 23:00:00,2016,1,12,23,0,Rain,2016-01-12,Bad
2016-01-13 00:00:00,2016,1,13,0,0,Rain,2016-01-13,Bad
2016-01-13 01:00:00,2016,1,13,1,0,Rain,2016-01-13,Bad
2016-01-13 02:00:00,2016,1,13,2,0,"Moderate Rain,Fog",2016-01-13,Bad
2016-01-13 03:00:00,2016,1,13,3,0,"Rain,Fog",2016-01-13,Bad
2016-01-13 04:00:00,2016,1,13,4,0,"Drizzle,Fog",2016-01-13,Bad
2016-01-13 07:00:00,2016,1,13,7,0,Cloudy,2016-01-13,Good
2016-01-13 10:00:00,2016,1,13,10,0,Cloudy,2016-01-13,Good
2016-01-13 13:00:00,2016,1,13,13,0,Cloudy,2016-01-13,Good
2016-01-13 16:00:00,2016,1,13,16,0,Mostly Cloudy,2016-01-13,Good
2016-01-13 19:00:00,2016,1,13,19,0,Mainly Clear,2016-01-13,Good
2016-01-13 22:00:00,2016,1,13,22,0,Mostly Cloudy,2016-01-13,Good
2016-01-14 01:00:00,2016,1,14,1,0,Cloudy,2016-01-14,Good
2016-01-14 02:00:00,2016,1,14,2,0,Rain Showers,2016-01-14,Bad
2016-01-14 04:00:00,2016,1,14,4,0,Mostly Cloudy,2016-01-14,Good
2016-01-14 07:00:00,2016,1,14,7,0,Cloudy,2016-01-14,Good
2016-01-14 10:00:00,2016,1,14,10,0,Mostly Cloudy,2016-01-14,Good
2016-01-14 13:00:00,2016,1,14,13,0,Mainly Clear,2016-01-14,Good
2016-01-14 16:00:00,2016,1,14,16,0,Mostly Cloudy,2016-01-14,Good
2016-01-14 19:00:00,2016,1,14,19,0,Clear,2016-01-14,Good
2016-01-14 22:00:00,2016,1,14,22,0,Clear,2016-01-14,Good
2016-01-15 01:00:00,2016,1,15,1,0,Clear,2016-01-15,Good
2016-01-15 04:00:00,2016,1,15,4,0,Mainly Clear,2016-01-15,Good
2016-01-15 07:00:00,2016,1,15,7,0,Mainly Clear,2016-01-15,Good
2016-01-15 10:00:00,2016,1,15,10,0,Mostly Cloudy,2016-01-15,Good
2016-01-15 12:00:00,2016,1,15,12,0,Rain,2016-01-15,Bad
2016-01-15 13:00:00,2016,1,15,13,0,Cloudy,2016-01-15,Good
2016-01-15 15:00:00,2016,1,15,15,0,Drizzle,2016-01-15,Bad
2016-01-15 16:00:00,2016,1,15,16,0,Drizzle,2016-01-15,Bad
2016-01-15 17:00:00,2016,1,15,17,0,Rain,2016-01-15,Bad
2016-01-15 19:00:00,2016,1,15,19,0,Cloudy,2016-01-15,Good
2016-01-15 22:00:00,2016,1,15,22,0,Rain,2016-01-15,Bad
2016-01-15 23:00:00,2016,1,15,23,0,Rain,2016-01-15,Bad
2016-01-16 00:00:00,2016,1,16,0,0,Rain,2016-01-16,Bad
2016-01-16 01:00:00,2016,1,16,1,0,Rain,2016-01-16,Bad
2016-01-16 02:00:00,2016,1,16,2,0,Rain,2016-01-16,Bad
2016-01-16 03:00:00,2016,1,16,3,0,Rain,2016-01-16,Bad
2016-01-16 04:00:00,2016,1,16,4,0,Rain,2016-01-16,Bad
2016-01-16 05:00:00,2016,1,16,5,0,Rain,2016-01-16,Bad
2016-01-16 06:00:00,2016,1,16,6,0,Rain,2016-01-16,Bad
2016-01-16 07:00:00,2016,1,16,7,0,Rain,2016-01-16,Bad
2016-01-16 08:00:00,2016,1,16,8,0,Rain,2016-01-16,Bad
2016-01-16 09:00:00,2016,1,16,9,0,Rain,2016-01-16,Bad
2016-01-16 10:00:00,2016,1,16,10,0,Rain,2016-01-16,Bad
2016-01-16 13:00:00,2016,1,16,13,0,Cloudy,2016-01-16,Good
2016-01-16 16:00:00,2016,1,16,16,0,Mostly Cloudy,2016-01-16,Good
2016-01-16 17:00:00,2016,1,16,17,0,Rain Showers,2016-01-16,Bad
2016-01-16 18:00:00,2016,1,16,18,0,Rain Showers,2016-01-16,Bad
2016-01-16 19:00:00,2016,1,16,19,0,Rain Showers,2016-01-16,Bad
2016-01-16 20:00:00,2016,1,16,20,0,Rain Showers,2016-01-16,Bad
2016-01-16 21:00:00,2016,1,16,21,0,Rain Showers,2016-01-16,Bad
2016-01-16 22:00:00,2016,1,16,22,0,Mostly Cloudy,2016-01-16,Good
2016-01-17 01:00:00,2016,1,17,1,0,Mostly Cloudy,2016-01-17,Good
2016-01-17 04:00:00,2016,1,17,4,0,Rain Showers,2016-01-17,Bad
2016-01-17 07:00:00,2016,1,17,7,0,Cloudy,2016-01-17,Good
2016-01-17 08:00:00,2016,1,17,8,0,Rain,2016-01-17,Bad
2016-01-17 09:00:00,2016,1,17,9,0,"Rain,Fog",2016-01-17,Bad
2016-01-17 10:00:00,2016,1,17,10,0,Rain,2016-01-17,Bad
2016-01-17 11:00:00,2016,1,17,11,0,"Rain,Fog",2016-01-17,Bad
2016-01-17 12:00:00,2016,1,17,12,0,Rain,2016-01-17,Bad
2016-01-17 13:00:00,2016,1,17,13,0,Mostly Cloudy,2016-01-17,Good
2016-01-17 16:00:00,2016,1,17,16,0,Mostly Cloudy,2016-01-17,Good
2016-01-17 19:00:00,2016,1,17,19,0,Mostly Cloudy,2016-01-17,Good
2016-01-17 22:00:00,2016,1,17,22,0,Cloudy,2016-01-17,Good
2016-01-18 00:00:00,2016,1,18,0,0,Rain Showers,2016-01-18,Bad
